fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,fpl_eqt,fpl_eqterr1,fpl_eqterr2,fpl_eqtlim,fpl_insol,fpl_insolerr1,fpl_insolerr2,fpl_insollim,fpl_snum,ra_str,ra,dec_str,dec,fst_posreflink,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_optmag,fst_optmagerr,fst_optmaglim,fst_optmagband,fst_nirmag,fst_nirmagerr,fst_nirmaglim,fst_nirmagband,fst_spt,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_met,fst_meterr1,fst_meterr2,fst_metlim,fst_metratio,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
11 UMi,b,11 UMi b,Radial Velocity,0,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,4684.81420,794.57500,-794.57500,0,Msini,12.300,,,0,13.80000,,,0,,,,0,,,,0,1,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,125.72,1.97,-1.97,0,5.016,0.009,0,V (Johnson),1.939,0.270,0,Ks (2MASS),K4 III,4213.00,46.00,-46.00,0,1.93,0.07,-0.07,0,2.430,0.008,-0.008,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,-0.020,,,0,[Fe/H],1.560,0.540,-0.540,0
14 And,b,14 And b,Radial Velocity,0,2008,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,1525.50000,,,0,Msini,12.900,,,0,3.90000,,,0,,,,,,,,,1,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,75.59,0.71,-0.71,0,5.227,0.009,0,V (Johnson),2.331,0.240,0,Ks (2MASS),G8 III,4813.00,20.00,-20.00,0,2.63,0.07,-0.07,0,1.763,,,0,2.20,0.10,-0.20,0,11.00,1.00,-1.00,0,-0.240,0.030,-0.030,0,[Fe/H],4.500,1.900,-1.900,0
14 Her,b,14 Her b,Radial Velocity,0,2002,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,0.370000,0.000000,0.000000,0,1481.08780,47.67450,-47.67450,0,Msini,12.900,,,0,3.79000,,,0,,,,0,,,,0,1,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,17.94,0.01,-0.01,0,6.610,0.020,0,V (Johnson),4.714,0.016,0,Ks (2MASS),K0 V,5338.00,25.00,-25.00,0,4.45,0.02,-0.02,0,-0.151,0.000,0.000,0,0.90,0.04,-0.04,0,0.93,0.01,-0.01,0,0.410,,,0,[Fe/H],5.240,,,0
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,2008,,,,,330.000000,,,0,,,,,3000.00000,300.00000,-300.00000,0,Mass,18.647,,,0,2.54000,,,0,1700,100,-100,0,,,,,1,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,145.00,14.00,-14.00,0,12.057,,0,G (Gaia),8.916,0.021,0,Ks (2MASS),K7 V,4060.00,300.00,-200.00,0,,,,,-0.370,0.150,-0.150,0,0.85,0.20,-0.10,0,1.18,0.11,-0.14,0,,,,,,0.005,,,0
24 Boo,b,24 Boo b,Radial Velocity,0,2018,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,0.042000,0.048000,-0.029000,0,289.22530,41.31790,-31.78300,0,Msini,13.900,,,0,0.59200,,,0,,,,0,,,,0,1,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,96.25,0.64,-0.64,0,5.580,,0,V (Johnson),3.159,0.280,0,Ks (2MASS),G3 IV,4893.00,15.00,-15.00,0,2.42,0.10,-0.10,0,1.774,0.047,-0.053,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,-0.770,0.030,-0.030,0,[Fe/H],6.920,4.830,-2.750,0
24 Sex,b,24 Sex b,Radial Velocity,0,2010,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,632.46000,82.63000,-120.77000,0,Msini,13.400,,,0,1.44000,,,0,,,,,,,,,1,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,72.21,0.68,-0.68,0,6.441,0.010,0,V (Johnson),4.285,0.016,0,Ks (2MASS),K0 IV,5098.00,44.00,-44.00,0,3.50,0.10,-0.10,0,1.164,0.003,-0.003,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],2.700,0.400,-0.400,0
24 Sex,c,24 Sex c,Radial Velocity,0,2010,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,273.32000,111.24000,-69.92000,0,Msini,13.900,,,0,0.55900,,,0,,,,,,,,,1,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,72.21,0.68,-0.68,0,6.441,0.010,0,V (Johnson),4.285,0.016,0,Ks (2MASS),K0 IV,5098.00,44.00,-44.00,0,3.50,0.10,-0.10,0,1.164,0.003,-0.003,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],2.700,0.400,-0.400,0
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,2013,,,,,52.000000,6.000000,-6.000000,0,,,,,7786.50000,794.50000,-794.50000,0,Mass,11.209,,,0,30.40000,,,0,1600,100,-100,0,,,,,1,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,36.00,4.00,-4.00,0,14.240,0.070,0,V (Johnson),9.198,0.024,0,Ks (2MASS),M3.5 V,3530.00,50.00,-50.00,0,,,,,-1.720,0.110,-0.110,0,0.40,0.05,-0.05,0,,,,,,,,,,0.120,0.010,-0.010,0
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,2015,,,,,156.000000,10.000000,-10.000000,0,,,,,4417.83700,349.61300,-349.61300,0,Mass,16.141,0.336,-0.336,0,5.77000,,,0,,,,,,,,,1,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,39.40,2.60,-2.60,0,15.012,,0,G (Gaia),10.404,0.023,0,Ks (2MASS),M6,3064.00,76.00,-76.00,0,4.59,0.06,-0.06,0,-2.230,0.060,-0.060,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,,,,,,0.035,0.005,-0.005,0
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,2010,,,,,15.000000,,,0,,,,,2383.60000,794.50000,-794.50000,0,Mass,12.600,,,0,6.55000,,,0,,,,,,,,,1,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,140.00,,,0,18.967,,0,G (Gaia),13.161,0.025,0,Ks (2MASS),M8.5,,,,,,,,,,,,,0.02,,,0,,,,,,,,,,0.001,,,0
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,2004,,,,,46.000000,5.000000,-5.000000,0,,,,,1271.00000,318.00000,-318.00000,0,Mass,13.000,,,0,3.18000,,,0,1150,150,-150,0,,,,,1,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,64.42,0.65,-0.65,0,20.150,0.190,0,V (Johnson),11.945,0.026,0,Ks (2MASS),M8,,,,,,,,,,,,,0.02,,,0,,,,,,,,,,0.008,0.004,-0.003,0
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,2009,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,6657.48000,26629.91000,-6657.48000,0,Mass,10.310,4.370,-4.040,0,33.40000,,,0,2075,70,-70,0,,,,,1,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,25.00,10.00,-10.00,0,17.396,,0,G (Gaia),11.826,0.031,0,Ks (2MASS),M8.5,2300.00,80.00,-80.00,0,,,,,-3.480,0.350,-0.350,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,,,,,,,,,
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,2016,,,,,230.000000,20.000000,-20.000000,0,,,,,3972.87500,476.74500,-476.74500,0,Mass,12.300,,,0,11.70000,,,0,,,,,,,,,1,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,74.00,10.00,-10.00,0,12.510,0.030,0,V (Johnson),9.148,0.016,0,Ks (2MASS),K7 V,4045.00,35.00,-35.00,0,,,,,-1.021,0.002,-0.002,0,0.60,0.05,-0.05,0,0.62,0.05,-0.08,0,,,,,,0.120,0.010,-0.010,0
4 UMa,b,4 UMa b,Radial Velocity,0,2006,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,2256.50000,508.50000,-508.50000,0,Msini,12.700,,,0,6.05000,,,0,,,,,,,,,1,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,73.58,1.18,-1.18,0,4.610,,0,V (Johnson),1.734,0.218,0,Ks (2MASS),K1 III,4415.00,70.00,-70.00,0,1.80,0.15,-0.15,0,2.062,0.008,-0.008,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,-0.250,0.040,-0.040,0,[Fe/H],4.604,2.000,-2.000,0
47 UMa,b,47 UMa b,Radial Velocity,0,1996,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,804.08000,22.25000,-19.07000,0,Msini,13.200,,,0,1.92000,,,0,,,,,,,,,1,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,13.80,0.03,-0.03,0,5.050,,0,V (Johnson),3.750,0.340,0,Ks (2MASS),G0 V,5892.00,70.00,-70.00,0,4.27,0.10,-0.10,0,0.216,0.002,-0.002,0,1.03,0.05,-0.05,0,1.23,,,0,0.000,0.070,-0.070,0,[Fe/H],7.300,1.900,-1.900,0
47 UMa,c,47 UMa c,Radial Velocity,0,2001,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,171.62100,20.97600,-23.20100,0,Msini,14.200,,,0,0.32900,,,0,,,,,,,,,1,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,13.80,0.03,-0.03,0,5.050,,0,V (Johnson),3.750,0.340,0,Ks (2MASS),G0 V,5892.00,70.00,-70.00,0,4.27,0.10,-0.10,0,0.216,0.002,-0.002,0,1.03,0.05,-0.05,0,1.23,,,0,0.000,0.070,-0.070,0,[Fe/H],7.300,1.900,-1.900,0
47 UMa,d,47 UMa d,Radial Velocity,0,2009,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,521.22000,92.17000,-152.55000,0,Msini,13.500,,,0,1.16000,,,0,,,,,,,,,1,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,13.80,0.03,-0.03,0,5.050,,0,V (Johnson),3.750,0.340,0,Ks (2MASS),G0 V,5892.00,70.00,-70.00,0,4.27,0.10,-0.10,0,0.216,0.002,-0.002,0,1.03,0.05,-0.05,0,1.23,,,0,0.000,0.070,-0.070,0,[Fe/H],7.300,1.900,-1.900,0
51 Peg,b,51 Peg b,Radial Velocity,0,1995,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,146.20180,19.06980,-3.17830,0,Mass,14.300,,,0,0.27500,,,0,,,,,,,,,1,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,15.47,0.03,-0.03,0,5.500,,0,V (Johnson),3.911,0.021,0,Ks (2MASS),G2.5 IV,5793.00,70.00,-70.00,0,4.33,0.10,-0.10,0,0.147,0.001,-0.001,0,1.12,0.06,-0.06,0,1.20,,,0,0.200,0.070,-0.070,0,[Fe/H],4.000,2.500,-2.500,0
6 Lyn,b,6 Lyn b,Radial Velocity,0,2008,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,0.073000,0.036000,-0.036000,0,638.83830,24.47291,-24.47291,0,Msini,13.400,,,0,1.46000,,,0,,,,0,,,,0,1,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,54.74,0.27,-0.27,0,5.860,,0,V (Johnson),3.701,0.300,0,Ks (2MASS),K0 III-IV,4938.00,,,0,3.19,,,0,1.156,0.003,-0.003,0,1.44,,,0,5.20,,,0,-0.100,0.020,-0.020,0,[Fe/H],2.353,0.211,-0.211,0
61 Vir,b,61 Vir b,Radial Velocity,0,2009,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,5.10000,0.50000,-0.50000,0,Msini,2.110,,,0,2.98000,,,0,,,,,,,,,1,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,8.51,0.02,-0.02,0,4.740,,0,V (Johnson),2.956,0.236,0,Ks (2MASS),G5 V,5577.00,33.00,-33.00,0,4.34,0.03,-0.03,0,-0.095,0.003,-0.003,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,-0.010,,,0,[Fe/H],8.960,2.760,-3.080,0
61 Vir,c,61 Vir c,Radial Velocity,0,2009,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,18.20000,1.10000,-1.10000,0,Msini,4.460,,,0,1.13000,,,0,,,,,,,,,1,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,8.51,0.02,-0.02,0,4.740,,0,V (Johnson),2.956,0.236,0,Ks (2MASS),G5 V,5577.00,33.00,-33.00,0,4.34,0.03,-0.03,0,-0.095,0.003,-0.003,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,-0.010,,,0,[Fe/H],8.960,2.760,-3.080,0
61 Vir,d,61 Vir d,Radial Velocity,0,2009,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,22.90000,2.60000,-2.60000,0,Msini,5.110,,,0,0.94300,,,0,,,,,,,,,1,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,8.51,0.02,-0.02,0,4.740,,0,V (Johnson),2.956,0.236,0,Ks (2MASS),G5 V,5577.00,33.00,-33.00,0,4.34,0.03,-0.03,0,-0.095,0.003,-0.003,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,-0.010,,,0,[Fe/H],8.960,2.760,-3.080,0
7 CMa,b,7 CMa b,Radial Velocity,0,2011,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,0.060000,0.030000,-0.030000,0,587.98550,19.06980,-19.06980,0,Msin(i)/sin(i),13.400,,,0,1.34000,,,0,,,,0,,,,0,1,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,19.82,0.16,-0.16,0,3.920,,0,V (Johnson),1.564,0.252,0,Ks (2MASS),K1 III,4826.00,45.00,-55.00,0,3.19,0.06,-0.07,0,1.063,0.012,-0.008,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,0.210,0.100,-0.100,0,[Fe/H],4.300,0.900,-1.300,0
7 CMa,c,7 CMa c,Radial Velocity,0,2019,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,0.080000,0.050000,-0.040000,0,276.51210,19.06980,-19.06980,0,Msin(i)/sin(i),13.900,,,0,0.56600,,,0,,,,0,,,,0,1,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,19.82,0.16,-0.16,0,3.920,,0,V (Johnson),1.564,0.252,0,Ks (2MASS),K1 III,4826.00,45.00,-55.00,0,3.19,0.06,-0.07,0,1.063,0.012,-0.008,0,1.34,0.11,-0.12,0,4.87,0.17,-0.14,0,0.210,0.100,-0.100,0,[Fe/H],4.300,0.900,-1.300,0
70 Vir,b,70 Vir b,Radial Velocity,0,1996,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,0.398800,0.001900,-0.001900,0,2380.45000,193.87000,-193.87000,0,Mass,12.600,,,0,6.54000,,,0,,,,0,,,,0,1,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,17.91,0.06,-0.06,0,4.970,,0,V (Johnson),3.500,0.294,0,Ks (2MASS),G4 V,5495.00,,,0,3.95,,,0,0.487,0.002,-0.002,0,1.09,,,0,1.89,,,0,-0.110,0.010,-0.010,0,[Fe/H],7.920,0.280,-0.160,0
8 UMi,b,8 UMi b,Radial Velocity,0,2015,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,0.060000,0.090000,-0.090000,0,416.35730,50.85280,-50.85280,0,Msini,13.600,,,0,0.91000,,,0,,,,0,,,,0,1,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,163.32,0.65,-0.65,0,6.830,,0,V (Johnson),4.515,0.020,0,Ks (2MASS),K0,4847.00,7.00,-7.00,0,2.57,0.03,-0.03,0,1.725,0.003,-0.003,0,1.44,0.19,-0.19,0,10.30,0.57,-0.57,0,-0.030,,,0,[Fe/H],1.700,0.200,-0.200,0
81 Cet,b,81 Cet b,Radial Velocity,0,2008,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,1684.40000,,,0,Msini,12.800,,,0,4.41000,,,0,,,,,,,,,1,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,101.53,1.22,-1.22,0,5.650,,0,V (Johnson),3.266,0.258,0,Ks (2MASS),G5 III,4785.00,25.00,-25.00,0,2.35,0.08,-0.08,0,1.778,,,0,2.40,0.10,-0.40,0,11.00,2.00,-1.00,0,-0.060,0.030,-0.030,0,[Fe/H],,,,
AB Pic,b,AB Pic b,Imaging,0,2005,,,,,260.000000,,,0,,,,,4290.50000,158.90000,-158.90000,0,Mass,12.300,,,0,12.70000,,,0,,,,,,,,,1,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,50.12,0.07,-0.07,0,9.128,0.019,0,V (Johnson),6.981,0.024,0,Ks (2MASS),K2 V,5378.00,55.00,-55.00,0,4.44,0.21,-0.21,0,-0.226,0.001,-0.001,0,0.90,0.10,-0.10,0,1.00,0.03,-0.02,0,-0.050,0.040,-0.040,0,[Fe/H],0.030,,,0
BD+03 2562,b,BD+03 2562 b,Radial Velocity,0,2017,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,0.200000,0.120000,-0.080000,0,2034.11200,413.17900,-413.17900,0,Msini,12.700,,,0,5.46000,,,0,,,,,,,,,1,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,2618.00,564.00,-564.00,0,9.580,0.010,0,V (Johnson),6.021,0.015,0,Ks (2MASS),,4095.00,20.00,-20.00,0,1.89,0.10,-0.10,0,2.700,0.140,-0.140,0,1.14,0.25,-0.25,0,32.35,8.82,-8.82,0,-0.710,0.090,-0.090,0,[Fe/H],5.200,4.750,-2.750,0
BD+14 4559,b,BD+14 4559 b,Radial Velocity,0,2009,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,0.290000,0.030000,-0.030000,0,330.54320,149.38010,-149.38010,0,Msini,13.800,,,0,0.69100,,,0,,,,0,,,,0,1,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,49.42,0.08,-0.08,0,9.630,0.012,0,V (Johnson),7.336,0.022,0,Ks (2MASS),K2 V,4864.00,101.00,-101.00,0,4.26,0.29,-0.29,0,-0.424,0.001,-0.001,0,0.49,0.33,-0.33,0,0.86,0.04,-0.04,0,0.170,,,0,[Fe/H],,,,0
BD+15 2375,b,BD+15 2375 b,Radial Velocity,0,2016,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,0.001000,0.250000,-0.001000,0,337.21763,85.81410,-85.81410,0,Msini,13.800,,,0,0.70500,,,0,,,,,,,,,1,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,774.00,165.00,-165.00,0,10.310,0.023,0,V (Johnson),7.718,0.009,0,Ks (2MASS),G5,4649.00,30.00,-30.00,0,2.61,0.12,-0.12,0,1.570,0.100,-0.100,0,1.08,0.14,-0.14,0,8.95,1.45,-1.45,0,-0.220,0.080,-0.080,0,[Fe/H],7.410,3.810,-2.520,0
BD+15 2940,b,BD+15 2940 b,Radial Velocity,0,2013,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,0.260000,0.100000,-0.100000,0,352.78000,,,0,Msini,13.700,,,0,0.75400,,,0,,,,,,,,,1,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,431.61,6.55,-6.55,0,9.046,0.021,0,V (Johnson),6.525,0.016,0,Ks (2MASS),K0,4796.00,117.00,-117.00,0,2.80,0.45,-0.45,0,2.010,0.750,-0.750,0,1.10,0.20,-0.20,0,14.70,2.80,-2.80,0,0.280,0.070,-0.070,0,[Fe/H],7.100,4.200,-4.200,0
BD+20 2457,b,BD+20 2457 b,Radial Velocity,0,2009,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,0.150000,0.030000,-0.030000,0,17668.16970,24965.54650,-24965.54650,0,Msini,11.600,,,0,62.20000,,,0,,,,0,,,,0,1,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,1670.85,222.63,-222.63,0,9.750,,0,V (Johnson),6.420,0.021,0,Ks (2MASS),K2 II,4259.00,64.00,-64.00,0,1.77,0.19,-0.19,0,2.768,0.067,-0.079,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,-0.790,,,0,[Fe/H],,,,0
