fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,fpl_eqt,fpl_eqterr1,fpl_eqterr2,fpl_eqtlim,fpl_insol,fpl_insolerr1,fpl_insolerr2,fpl_insollim,fpl_snum,ra_str,ra,dec_str,dec,fst_posreflink,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_optmag,fst_optmagerr,fst_optmaglim,fst_optmagband,fst_nirmag,fst_nirmagerr,fst_nirmaglim,fst_nirmagband,fst_spt,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_met,fst_meterr1,fst_meterr2,fst_metlim,fst_metratio,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
Kepler-986,b,Kepler-986 b,Transit,0,2016,56.43499380,0.00014460,-0.00014460,0,,,,,,,,,6.17000,,,0,M-R relationship,2.360,0.290,-0.190,0,2.58000,,,0,,,,,10.8570,0.3480,-0.3350,0,1,19h32m22.56s,293.094007,+42d53m47.2s,42.896431,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,563.00,68.13,-44.89,0,13.642,,0,G (Gaia),12.107,0.025,0,Ks (2MASS),,5642.00,74.24,-60.93,0,4.43,0.08,-0.10,0,-0.080,0.013,-0.013,0,0.96,0.04,-0.04,0,0.98,0.12,-0.08,0,0.040,0.096,-0.101,0,[Fe/H],6.170,3.540,-3.840,0
Kepler-987,b,Kepler-987 b,Transit,0,2016,105.30331480,0.00047830,-0.00047830,0,,,,,,,,,10.70000,,,0,M-R relationship,3.260,0.160,-0.120,0,1.70000,,,0,,,,,3.8530,0.1940,-0.1830,0,1,19h17m38.66s,289.411070,+46d07m51.1s,46.130848,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,936.00,37.28,-36.00,0,14.979,,0,G (Gaia),13.375,0.036,0,Ks (2MASS),,5637.00,69.85,-60.98,0,4.51,0.02,-0.03,0,-0.164,0.021,-0.023,0,0.97,0.03,-0.03,0,0.91,0.03,-0.03,0,0.010,0.104,-0.102,0,[Fe/H],2.450,1.780,-1.010,0
Kepler-988,b,Kepler-988 b,Transit,0,2016,17.76080053,0.00002728,-0.00002728,0,,,,,,,,,4.94000,,,0,M-R relationship,2.070,0.470,-0.160,0,3.06000,,,0,,,,,6.5600,0.6670,-0.6130,0,1,19h22m50.01s,290.708386,+42d14m14.1s,42.237251,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,248.00,14.06,-13.39,0,15.213,,0,G (Gaia),12.290,0.015,0,Ks (2MASS),,4005.00,43.58,-41.86,0,4.73,0.02,-0.02,0,-1.001,0.009,-0.009,0,0.55,0.02,-0.02,0,0.53,0.02,-0.02,0,-0.320,0.103,-0.095,0,[Fe/H],3.160,4.320,-1.620,0
Kepler-989,b,Kepler-989 b,Transit,0,2016,7.96431535,0.00000962,-0.00000962,0,,,,,,,,,5.52000,,,0,M-R relationship,2.210,0.140,-0.130,0,2.81000,,,0,,,,,74.3500,1.8870,-1.8410,0,1,18h46m19.90s,281.582909,+47d14m01.1s,47.233631,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,484.00,24.94,-25.20,0,14.408,,0,G (Gaia),12.415,0.018,0,Ks (2MASS),,5074.00,52.66,-53.62,0,4.58,0.03,-0.05,0,-0.452,0.011,-0.012,0,0.82,0.04,-0.04,0,0.78,0.04,-0.04,0,0.010,0.149,-0.175,0,[Fe/H],4.680,5.770,-2.820,0
Kepler-990,b,Kepler-990 b,Transit,0,2016,9.91723428,0.00002468,-0.00002468,0,,,,,,,,,7.27000,,,0,M-R relationship,2.600,0.650,-0.420,0,2.27000,,,0,,,,,,,,,1,19h51m45.17s,297.938209,+46d52m53.0s,46.881393,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,933.00,242.95,-130.03,0,14.495,,0,G (Gaia),12.928,,-1,Ks (2MASS),,5948.00,211.07,-213.60,0,4.39,0.10,-0.16,0,-0.084,0.018,-0.019,0,1.05,0.12,-0.09,0,1.08,0.27,-0.14,0,0.010,0.134,-0.173,0,[Fe/H],3.550,2.380,-1.750,0
Kepler-990,c,Kepler-990 c,Transit,0,2016,0.53835431,0.00000067,-0.00000067,0,,,,,,,,,2.96000,,,0,M-R relationship,1.530,0.350,-0.190,0,4.54000,,,0,,,,,,,,,1,19h51m45.17s,297.938209,+46d52m53.0s,46.881393,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,933.00,242.95,-130.03,0,14.495,,0,G (Gaia),12.928,,-1,Ks (2MASS),,5948.00,211.07,-213.60,0,4.39,0.10,-0.16,0,-0.084,0.018,-0.019,0,1.05,0.12,-0.09,0,1.08,0.27,-0.14,0,0.010,0.134,-0.173,0,[Fe/H],3.550,2.380,-1.750,0
Kepler-991,b,Kepler-991 b,Transit,0,2016,82.53425190,0.00034490,-0.00034490,0,,,,,,,,,6.99000,,,0,M-R relationship,2.540,0.130,-0.120,0,2.34000,,,0,,,,,1.3710,0.0410,-0.0400,0,1,19h48m21.76s,297.090655,+49d37m35.7s,49.626572,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,370.00,16.66,-16.50,0,15.148,,0,G (Gaia),12.611,0.024,0,Ks (2MASS),,4392.00,55.21,-44.76,0,4.67,0.01,-0.02,0,-0.897,0.011,-0.011,0,0.64,0.03,-0.03,0,0.61,0.02,-0.02,0,-0.250,0.099,-0.121,0,[Fe/H],3.470,4.220,-1.900,0
Kepler-992,b,Kepler-992 b,Transit,0,2016,20.16034462,0.00005016,-0.00005016,0,,,,,,,,,3.26000,,,0,M-R relationship,1.620,0.040,-0.270,0,4.21000,,,0,,,,,15.2910,0.3370,-0.3310,0,1,18h57m43.27s,284.430280,+47d38m30.4s,47.641785,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,268.00,6.79,-7.68,0,13.390,,0,G (Gaia),11.274,0.022,0,Ks (2MASS),,4944.00,43.61,-46.10,0,4.60,0.01,-0.01,0,-0.609,0.005,-0.005,0,0.80,0.03,-0.03,0,0.74,0.02,-0.02,0,-0.040,0.101,-0.098,0,[Fe/H],3.020,2.640,-1.300,0
Kepler-993,b,Kepler-993 b,Transit,0,2016,22.08557563,0.00004655,-0.00004655,0,,,,,,,,,9.11000,,,0,M-R relationship,2.970,0.180,-0.120,0,1.91000,,,0,,,,,3.9540,0.4110,-0.3770,0,1,19h30m27.38s,292.614101,+44d23m40.8s,44.394661,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,298.00,14.99,-14.13,0,15.924,,0,G (Gaia),12.729,0.028,0,Ks (2MASS),,3843.00,50.16,-46.25,0,4.72,0.02,-0.01,0,-1.148,0.013,-0.014,0,0.57,0.02,-0.02,0,0.54,0.02,-0.02,0,0.030,0.090,-0.094,0,[Fe/H],3.890,5.380,-2.160,0
Kepler-994,b,Kepler-994 b,Transit,0,2016,1.15116651,0.00000057,-0.00000057,0,,,,,,,,,3.19000,,,0,M-R relationship,1.600,0.070,-0.270,0,4.28000,,,0,,,,,243.9840,24.6630,-22.6680,0,1,19h16m17.33s,289.072225,+47d24m25.5s,47.407070,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,170.00,9.38,-9.36,0,14.465,,0,G (Gaia),11.453,0.012,0,Ks (2MASS),,3934.00,38.91,-35.14,0,4.72,0.02,-0.02,0,-1.117,0.005,-0.005,0,0.56,0.03,-0.03,0,0.54,0.02,-0.02,0,-0.130,0.098,-0.098,0,[Fe/H],3.240,4.300,-1.640,0
Kepler-995,b,Kepler-995 b,Transit,0,2016,28.26731672,0.00008643,-0.00008643,0,,,,,,,,,7.75000,,,0,M-R relationship,2.700,0.190,-0.170,0,2.16000,,,0,,,,,11.9200,0.4670,-0.4490,0,1,18h58m27.77s,284.615727,+39d07m51.7s,39.131038,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,659.00,44.56,-44.11,0,14.881,,0,G (Gaia),13.021,0.027,0,Ks (2MASS),,5206.00,110.94,-74.71,0,4.57,0.03,-0.06,0,-0.456,0.016,-0.017,0,0.83,0.04,-0.05,0,0.80,0.05,-0.05,0,-0.070,0.148,-0.170,0,[Fe/H],5.010,6.050,-3.200,0
Kepler-996,b,Kepler-996 b,Transit,0,2016,3.77059058,0.00000806,-0.00000806,0,,,,,,,,,4.58000,,,0,M-R relationship,1.980,0.630,-0.250,0,3.24000,,,0,,,,,723.0810,42.0620,-39.5540,0,1,19h27m39.07s,291.912789,+41d32m01.0s,41.533611,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,1098.00,345.52,-146.78,0,14.639,,0,G (Gaia),13.171,0.036,0,Ks (2MASS),,6014.00,114.40,-152.18,0,4.36,0.10,-0.20,0,0.219,0.028,-0.030,0,1.09,0.09,-0.08,0,1.14,0.36,-0.14,0,0.030,0.131,-0.155,0,[Fe/H],3.630,1.810,-1.770,0
Kepler-997,b,Kepler-997 b,Transit,0,2016,2.70730672,0.00000552,-0.00000552,0,,,,,,,,,2.42000,,,0,M-R relationship,1.360,0.330,-0.260,0,5.29000,,,0,,,,,1900.1310,60.2620,-58.4750,0,1,19h16m56.01s,289.233369,+49d56m20.2s,49.938934,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,470.00,112.98,-88.85,0,11.848,,0,G (Gaia),10.608,0.022,0,Ks (2MASS),,6150.00,62.57,-54.96,0,4.14,0.15,-0.14,0,0.479,0.009,-0.009,0,1.22,0.15,-0.08,0,1.56,0.37,-0.30,0,0.050,0.081,-0.077,0,[Fe/H],3.630,0.820,-0.690,0
Kepler-998,b,Kepler-998 b,Transit,0,2016,5.65377733,0.00001059,-0.00001059,0,,,,,,,,,5.99000,,,0,M-R relationship,2.320,0.610,-0.300,0,2.64000,,,0,,,,,409.9170,17.7120,-16.9240,0,1,19h47m01.00s,296.754151,+49d12m31.5s,49.208744,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,996.00,260.25,-133.44,0,14.341,,0,G (Gaia),12.888,0.030,0,Ks (2MASS),,6058.00,104.50,-165.40,0,4.34,0.10,-0.17,0,0.148,0.020,-0.021,0,1.12,0.10,-0.08,0,1.18,0.31,-0.15,0,0.070,0.142,-0.149,0,[Fe/H],3.310,1.550,-1.530,0
Kepler-999,b,Kepler-999 b,Transit,0,2016,5.99185702,0.00000817,-0.00000817,0,,,,,,,,,6.08000,,,0,M-R relationship,2.340,0.650,-0.490,0,2.61000,,,0,,,,,740.1730,27.8700,-26.6680,0,1,19h58m38.51s,299.660466,+46d11m54.3s,46.198418,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,568.00,156.76,-116.29,0,12.234,,0,G (Gaia),10.916,0.020,0,Ks (2MASS),,6237.00,104.45,-85.91,0,4.11,0.16,-0.16,0,0.462,0.011,-0.011,0,1.29,0.16,-0.12,0,1.65,0.46,-0.34,0,0.050,0.091,-0.068,0,[Fe/H],3.090,0.700,-0.620,0
L 168-9,b,L 168-9 b,Transit,0,2020,1.40150000,0.00018000,-0.00018000,0,0.020910,0.000240,-0.000240,0,0.210000,,,1,4.60000,0.56000,-0.56000,0,Mass,1.390,0.090,-0.090,0,9.60000,2.40000,-1.80000,0,965,20,-20,0,,,,0,1,23h20m07.53s,350.031372,-60d03m54.7s,-60.065182,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,25.17,0.02,-0.02,0,11.014,0.011,0,V (Johnson),7.082,0.031,0,Ks (2MASS),M1 V,3800.00,70.00,-70.00,0,4.04,0.49,-0.49,0,-1.172,0.015,-0.016,0,0.62,0.03,-0.03,0,0.60,0.02,-0.02,0,0.040,0.170,-0.170,0,[Fe/H],,,,0
L 98-59,b,L 98-59 b,Transit,0,2019,2.25310000,0.00040000,-0.00040000,0,0.022820,0.000080,-0.000080,0,0.120000,,,1,1.01000,,,1,Mass,0.800,0.050,-0.050,0,12.70000,,,1,610,13,-13,0,23.9000,5.3000,-4.4000,0,1,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190308017K/abstract target=ref>Kostov et al. 2019</a>,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),7.101,0.011,0,Ks (2MASS),M3 V,3412.00,49.00,-49.00,0,4.94,0.06,-0.06,0,-1.947,0.022,-0.024,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,-0.500,0.500,-0.500,0,[Fe/H],1.000,,,-1
L 98-59,c,L 98-59 c,Transit,0,2019,3.69040000,0.00030000,-0.00030000,0,0.031700,0.000100,-0.000100,0,0.070000,,,1,2.42000,0.35000,-0.34000,0,Mass,1.350,0.070,-0.070,0,5.40000,1.30000,-1.00000,0,517,11,-11,0,12.4000,2.8000,-2.3000,0,1,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190308017K/abstract target=ref>Kostov et al. 2019</a>,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),7.101,0.011,0,Ks (2MASS),M3 V,3412.00,49.00,-49.00,0,4.94,0.06,-0.06,0,-1.947,0.022,-0.024,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,-0.500,0.500,-0.500,0,[Fe/H],1.000,,,-1
L 98-59,d,L 98-59 d,Transit,0,2019,7.45120000,0.00070000,-0.00070000,0,0.050600,0.000200,-0.000200,0,0.090000,,,1,2.31000,0.46000,-0.45000,0,Mass,1.570,0.140,-0.140,0,3.30000,1.30000,-0.90000,0,409,8,-8,0,4.8500,1.0800,-0.8900,0,1,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190308017K/abstract target=ref>Kostov et al. 2019</a>,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),7.101,0.011,0,Ks (2MASS),M3 V,3412.00,49.00,-49.00,0,4.94,0.06,-0.06,0,-1.947,0.022,-0.024,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,-0.500,0.500,-0.500,0,[Fe/H],1.000,,,-1
LHS 1140,b,LHS 1140 b,Transit,0,2017,24.73695900,0.00008000,-0.00008000,0,0.093600,0.002400,-0.002400,0,0.060000,,,1,6.98000,0.89000,-0.89000,0,Mass,1.727,0.032,-0.032,0,7.50000,1.00000,-1.00000,0,235,5,-5,0,0.5030,0.0300,-0.0300,0,1,00h44m59.34s,11.247240,-15d16m17.5s,-15.271532,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,14.99,0.02,-0.02,0,14.180,0.030,0,V (Johnson),8.821,0.024,0,Ks (2MASS),M4.5 V,3216.00,39.00,-39.00,0,,,,0,-2.356,0.013,-0.013,0,0.18,0.01,-0.01,0,0.21,0.00,0.00,0,-0.240,0.100,-0.100,0,[Fe/H],5.000,,,-1
