CoRoT-24,2.0,600.00,b,0.056000,c,0.098000,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-25,1.0,1000.00,b,0.057800,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-26,1.0,1670.00,b,0.052600,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-27,1.0,1035.15,b,0.047600,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-28,1.0,560.00,b,0.060300,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-29,1.0,765.00,b,0.038600,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-3,1.0,680.00,b,0.057830,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-30,1.0,960.00,b,0.084400,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-31,1.0,2190.00,b,0.058600,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-4,1.0,741.60,b,0.090000,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-5,1.0,904.65,b,0.049470,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-6,1.0,657.24,b,0.085500,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-7,2.0,160.64,b,0.017016,c,0.046000,,,,,,,,,,,,,,,,,,,,,,,,
CoRoT-8,1.0,380.00,b,0.063000,,,,,,,,,,,,,,,,,,,,,,,,,,
CoRoTID 223977153,1.0,586.20,b,0.071000,,,,,,,,,,,,,,,,,,,,,,,,,,
DENIS-P J082303.1-491201,1.0,20.77,b,0.360000,,,,,,,,,,,,,,,,,,,,,,,,,,
DH Tau,1.0,140.00,b,330.000000,,,,,,,,,,,,,,,,,,,,,,,,,,
DMPP-1,4.0,62.00,b,0.146200,c,0.073300,d,0.042200,e,0.065100,,,,,,,,,,,,,,,,,,,,
DMPP-2,1.0,134.00,b,0.066400,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 201238110,1.0,159.98,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 201497682,1.0,254.88,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 201841433,1.0,441.94,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 206024342,1.0,373.81,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 206032309,1.0,162.09,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 206042996,1.0,457.27,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 206215704,1.0,110.22,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 206317286,1.0,317.20,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 211822797,1.0,187.19,b,0.131000,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 211945201,1.0,182.69,b,0.149300,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 212297394,1.0,423.35,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 212424622,1.0,622.67,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 212499991,1.0,285.61,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 212587672,1.0,322.88,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 212737443,2.0,347.45,b,0.098000,c,0.280000,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 220674823,2.0,246.10,b,0.013400,c,0.109100,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 248847494,1.0,560.00,b,4.500000,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC 249893012,3.0,324.22,b,0.047000,c,0.130000,d,0.220000,,,,,,,,,,,,,,,,,,,,,,
